year,sector,fuel,energy_PJ,state
2002,Total final consumption,Coal,156.518,Australia
2002,Total final consumption,Gas,579.958,Australia
2002,Total final consumption,Oil,1649.894,Australia
2002,Total final consumption,Electricity,684.69,Australia
2002,Total final consumption,Renewables,140.211,Australia
2003,Total final consumption,Coal,157.089,Australia
2003,Total final consumption,Gas,590.279,Australia
2003,Total final consumption,Oil,1732.631,Australia
2003,Total final consumption,Electricity,700.798,Australia
2003,Total final consumption,Renewables,138.149,Australia
2004,Total final consumption,Coal,167.792,Australia
2004,Total final consumption,Gas,592.021,Australia
2004,Total final consumption,Oil,1780.872,Australia
2004,Total final consumption,Electricity,701.108,Australia
2004,Total final consumption,Renewables,137.57,Australia
2005,Total final consumption,Coal,163.481,Australia
2005,Total final consumption,Gas,589.101,Australia
2005,Total final consumption,Oil,1809.409,Australia
2005,Total final consumption,Electricity,714.368,Australia
2005,Total final consumption,Renewables,136.012,Australia
2006,Total final consumption,Coal,163.467,Australia
2006,Total final consumption,Gas,597.782,Australia
2006,Total final consumption,Oil,1837.356,Australia
2006,Total final consumption,Electricity,748.66,Australia
2006,Total final consumption,Renewables,140.905,Australia
2007,Total final consumption,Coal,170.747,Australia
2007,Total final consumption,Gas,597.683,Australia
2007,Total final consumption,Oil,1884.953,Australia
2007,Total final consumption,Electricity,751.705,Australia
2007,Total final consumption,Renewables,141.831,Australia
2008,Total final consumption,Coal,134.18,Australia
2008,Total final consumption,Gas,588.334,Australia
2008,Total final consumption,Oil,1895.036,Australia
2008,Total final consumption,Electricity,768.567,Australia
2008,Total final consumption,Renewables,149.293,Australia
2009,Total final consumption,Coal,123.538,Australia
2009,Total final consumption,Gas,587.45,Australia
2009,Total final consumption,Oil,1937.269,Australia
2009,Total final consumption,Electricity,787.573,Australia
2009,Total final consumption,Renewables,183.407,Australia
2010,Total final consumption,Coal,114.594,Australia
2010,Total final consumption,Gas,597.094,Australia
2010,Total final consumption,Oil,2016.338,Australia
2010,Total final consumption,Electricity,795.582,Australia
2010,Total final consumption,Renewables,181.526,Australia
2011,Total final consumption,Coal,106.419,Australia
2011,Total final consumption,Gas,612.99,Australia
2011,Total final consumption,Oil,2094.416,Australia
2011,Total final consumption,Electricity,785.242,Australia
2011,Total final consumption,Renewables,182.473,Australia
2012,Total final consumption,Coal,111.191,Australia
2012,Total final consumption,Gas,632.348,Australia
2012,Total final consumption,Oil,2122.958,Australia
2012,Total final consumption,Electricity,790.862,Australia
2012,Total final consumption,Renewables,200.787,Australia
2013,Total final consumption,Coal,111.32,Australia
2013,Total final consumption,Gas,630.158,Australia
2013,Total final consumption,Oil,2147.498,Australia
2013,Total final consumption,Electricity,787.248,Australia
2013,Total final consumption,Renewables,193.133,Australia
2014,Total final consumption,Coal,105.818,Australia
2014,Total final consumption,Gas,627.812,Australia
2014,Total final consumption,Oil,2127.465,Australia
2014,Total final consumption,Electricity,801.093,Australia
2014,Total final consumption,Renewables,201.985,Australia
2015,Total final consumption,Coal,111.899,Australia
2015,Total final consumption,Gas,608.246,Australia
2015,Total final consumption,Oil,2155.702,Australia
2015,Total final consumption,Electricity,815.969,Australia
2015,Total final consumption,Renewables,195.459,Australia
2016,Total final consumption,Coal,114.346,Australia
2016,Total final consumption,Gas,596.725,Australia
2016,Total final consumption,Oil,2198.894,Australia
2016,Total final consumption,Electricity,814.444,Australia
2016,Total final consumption,Renewables,205.84,Australia
2017,Total final consumption,Coal,113.614,Australia
2017,Total final consumption,Gas,600.283,Australia
2017,Total final consumption,Oil,2268.38,Australia
2017,Total final consumption,Electricity,823.827,Australia
2017,Total final consumption,Renewables,192.886,Australia
2018,Total final consumption,Coal,110.663,Australia
2018,Total final consumption,Gas,583.174,Australia
2018,Total final consumption,Oil,2279.114,Australia
2018,Total final consumption,Electricity,829.692,Australia
2018,Total final consumption,Renewables,185.25,Australia
2019,Total final consumption,Coal,102.254,Australia
2019,Total final consumption,Gas,590.569,Australia
2019,Total final consumption,Oil,2122.585,Australia
2019,Total final consumption,Electricity,829.779,Australia
2019,Total final consumption,Renewables,177.394,Australia
2020,Total final consumption,Coal,103.365,Australia
2020,Total final consumption,Gas,599.522,Australia
2020,Total final consumption,Oil,1984.079,Australia
2020,Total final consumption,Electricity,827.677,Australia
2020,Total final consumption,Renewables,183.791,Australia
2021,Total final consumption,Coal,104.32,Australia
2021,Total final consumption,Gas,591.202,Australia
2021,Total final consumption,Oil,2007.407,Australia
2021,Total final consumption,Electricity,843.912,Australia
2021,Total final consumption,Renewables,184.382,Australia
2022,Total final consumption,Coal,99.631,Australia
2022,Total final consumption,Gas,561.046,Australia
2022,Total final consumption,Oil,2190.041,Australia
2022,Total final consumption,Electricity,855.866,Australia
2022,Total final consumption,Renewables,193.851,Australia
